Batch,weight_id,weight_variable,matched_raw_column,component,family,position,unit,value_stat,orientation,v0_estimated,h_estimated,hh_estimated,min_value,p01,p05,median_value,p95,p99,max_value,n_windows,threshold_method,threshold_warning
RUBIALES,3.0,Desplazamiento Pico a Pico VIX2 — LA Motor [µm],LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,um,mean,cost,32.910695911333335,36.08490452699999,36.383791397100005,32.279976643333335,32.68196265936667,32.910695911333335,34.68899264,36.08490452699999,36.383791397100005,36.75705577666667,339,batch_percentile_p05_p95_p99,
RUBIALES,4.0,Desplazamiento Pico a Pico VIY2 — LA Motor [µm],LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,um,mean,cost,33.37908794116667,36.31739046516667,36.68329403156667,33.1163994,33.206936285733335,33.37908794116667,34.845207056666666,36.31739046516667,36.68329403156667,36.84975499166667,339,batch_percentile_p05_p95_p99,
RUBIALES,5.0,Desplazamiento Pico a Pico VIX3 — LA Bomba [µm],LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,um,mean,cost,43.03412281116667,47.13450210883334,47.3563836923,42.546190595,42.779404254400006,43.03412281116667,44.94049915166667,47.13450210883334,47.3563836923,47.84680042166666,339,batch_percentile_p05_p95_p99,
RUBIALES,6.0,Desplazamiento Pico a Pico VIY3 — LA Bomba [µm],LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,um,mean,cost,70.50423765583332,81.35247522333333,82.1288361179,69.40911299166667,69.88522569986667,70.50423765583332,72.47788399,81.35247522333333,82.1288361179,82.57063881333333,339,batch_percentile_p05_p95_p99,
RUBIALES,7.0,Desplazamiento Pico a Pico VIX4 — LL Bomba [µm],LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,um,mean,cost,38.666745119666665,46.195897535166665,46.85675888906667,38.27309998333333,38.379858733333336,38.666745119666665,40.59790906166666,46.195897535166665,46.85675888906667,47.18185396,339,batch_percentile_p05_p95_p99,
RUBIALES,8.0,Desplazamiento Pico a Pico VIY4 — LL Bomba [µm],LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,um,mean,cost,43.562561246166666,46.72714683483333,47.066431063766665,42.594824558333336,43.17696481593333,43.562561246166666,44.848030635,46.72714683483333,47.066431063766665,47.279038765,339,batch_percentile_p05_p95_p99,
RUBIALES,9.0,Aceleración RMS — LA Motor Horizontal [g],LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,g,mean,cost,0.4885898813483332,0.6946532613216666,0.7279998921793334,0.4844982328333333,0.4856400291903333,0.4885898813483332,0.5192623020833333,0.6946532613216666,0.7279998921793334,0.7349543131833334,339,batch_percentile_p05_p95_p99,
RUBIALES,10.0,Velocidad RMS — LA Motor Horizontal [mm/s],LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,mm/s,mean,cost,1.4279145732333334,1.4802322859833332,1.4986321391966666,1.4029859386666668,1.4066757294733334,1.4279145732333334,1.4584344195,1.4802322859833332,1.4986321391966666,1.5081472484999998,339,batch_percentile_p05_p95_p99,
RUBIALES,11.0,Aceleración RMS — LA Motor Axial [g],LA MOTOR\AC LA A MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,g,mean,cost,0.2679045525783333,0.2857399604833333,0.288388636082,0.25805966615,0.2605800557136666,0.2679045525783333,0.2783657589333333,0.2857399604833333,0.288388636082,0.2896940993,339,batch_percentile_p05_p95_p99,
RUBIALES,12.0,Velocidad RMS — LA Motor Axial [mm/s],LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,mm/s,mean,cost,1.452858078216667,1.4989211381666665,1.5039749428233335,1.449367172,1.4505569099466666,1.452858078216667,1.4693422006666663,1.4989211381666665,1.5039749428233335,1.5081240998333334,339,batch_percentile_p05_p95_p99,
RUBIALES,13.0,Aceleración RMS — LA Bomba Axial [g],LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,g,mean,cost,0.400400899935,0.4158234132749999,0.4168262833703333,0.3952741553833333,0.3959983641549999,0.400400899935,0.40341578575,0.4158234132749999,0.4168262833703333,0.4176109108333333,339,batch_percentile_p05_p95_p99,
RUBIALES,14.0,Velocidad RMS — LA Bomba Axial [mm/s],LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,la,mm/s,mean,cost,0.6984445157566667,0.7418227834066666,0.750616810495,0.6648922541833334,0.6795378861793333,0.6984445157566667,0.71442575035,0.7418227834066666,0.750616810495,0.7556649751,339,batch_percentile_p05_p95_p99,
RUBIALES,15.0,Aceleración RMS — LA Bomba Horizontal [g],LA BOMBA\AC LA H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,g,mean,cost,0.4870086772633333,0.54093954808,0.5481376632533334,0.46680502485,0.4786949935953333,0.4870086772633333,0.5127619669833333,0.54093954808,0.5481376632533334,0.5600897536666667,339,batch_percentile_p05_p95_p99,
RUBIALES,16.0,Velocidad RMS — LA Bomba Horizontal [mm/s],LA BOMBA\AC LA H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,la,mm/s,mean,cost,1.7858700777499998,2.0078340003333333,2.05087164001,1.6782752683333333,1.6901026875833332,1.7858700777499998,1.8969259598333328,2.0078340003333333,2.05087164001,2.097290382166667,339,batch_percentile_p05_p95_p99,
RUBIALES,17.0,Aceleración RMS — LM Variador Horizontal [g],LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g],variador,acceleration_rms,lm,g,mean,cost,0.7910210226600001,1.4547706471166668,1.458642498883333,0.7876983156333334,0.7891377371439999,0.7910210226600001,0.8014771944833333,1.4547706471166668,1.458642498883333,1.4635383626666667,339,batch_percentile_p05_p95_p99,
