window_id,window_start,window_end,Batch,has_near_transition,baseline_batch_used,condition_index,condition_index_available_weight,n_variables_used,n_variables_unmatched,assessment_method
133,2025-12-10 20:50:32,2025-12-10 20:51:31,CASTILLA,False,CASTILLA,13.001814637349131,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
134,2025-12-10 20:51:32,2025-12-10 20:52:31,CASTILLA,False,CASTILLA,12.54227522184454,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
135,2025-12-10 20:52:32,2025-12-10 20:53:31,CASTILLA,False,CASTILLA,15.92109319257071,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
136,2025-12-10 20:53:32,2025-12-10 20:54:31,CASTILLA,False,CASTILLA,12.793297212128335,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
137,2025-12-10 20:54:32,2025-12-10 20:55:31,CASTILLA,False,CASTILLA,9.28598254876544,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
138,2025-12-10 20:55:32,2025-12-10 20:56:31,CASTILLA,False,CASTILLA,8.603827152983612,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
139,2025-12-10 20:56:32,2025-12-10 20:57:31,CASTILLA,False,CASTILLA,8.855397889220752,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
140,2025-12-10 20:57:32,2025-12-10 20:58:31,CASTILLA,False,CASTILLA,8.657202273906174,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
141,2025-12-10 20:58:32,2025-12-10 20:59:31,CASTILLA,False,CASTILLA,7.69896709339531,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
142,2025-12-10 20:59:32,2025-12-10 21:00:31,CASTILLA,False,CASTILLA,7.487682886650089,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
143,2025-12-10 21:00:32,2025-12-10 21:01:31,CASTILLA,False,CASTILLA,10.151095335004406,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
144,2025-12-10 21:01:32,2025-12-10 21:02:31,CASTILLA,False,CASTILLA,9.45543046242556,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
145,2025-12-10 21:02:32,2025-12-10 21:03:31,CASTILLA,False,CASTILLA,10.352254812039968,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
146,2025-12-10 21:03:32,2025-12-10 21:04:31,CASTILLA,False,CASTILLA,8.654246708398189,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
147,2025-12-10 21:04:32,2025-12-10 21:05:31,CASTILLA,False,CASTILLA,7.437849534323949,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
148,2025-12-10 21:05:32,2025-12-10 21:06:31,CASTILLA,False,CASTILLA,8.473381269440768,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
149,2025-12-10 21:06:32,2025-12-10 21:07:31,CASTILLA,False,CASTILLA,8.36519394453152,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
